"DATE_ON","DATE_OFF","ARTIST","TITLE"
"2009-01-11","2009-01-31","Lady Gaga feat. Colby O'Donis","Just Dance"
"2009-02-01","2009-02-14","Kelly Clarkson","My Life Would Suck Without You"
"2009-02-15","2009-02-21","Eminem, Dr. Dre and 50 Cent","Crack a Bottle"
"2009-02-22","2009-04-04","Flo Rida","Right Round"
"2009-04-05","2009-04-11","Lady Gaga","Poker Face"
"2009-04-12","2009-07-04","Black Eyed Peas","Boom Boom Pow"
"2009-07-05","2009-10-10","Black Eyed Peas","I Gotta Feeling"
"2009-10-11","2009-10-17","Jay Sean feat. Lil Wayne","Down"
"2009-10-18","2009-10-24","Britney Spears","3"
"2009-10-25","2009-10-31","Jay Sean feat. Lil Wayne","Down"
"2009-11-01","2009-11-07","Owl City","Fireflies"
"2009-11-08","2009-11-14","Jason DeRulo","Whatcha Say"
"2009-11-15","2009-11-21","Owl City","Fireflies"
"2009-11-22","2009-12-26","Jay-Z and Alicia Keys","Empire State of Mind"
"2009-12-27","2010-02-27","Ke$ha","TiK ToK"
"2010-02-28","2010-03-13","Black Eyed Peas","Imma Be"
"2010-03-14","2010-03-20","Taio Cruz feat. Ludacris","Break Your Heart"
"2010-03-21","2010-04-24","Rihanna","Rude Boy"
"2010-04-25","2010-05-08","B.o.B feat. Bruno Mars","Nothin' On You"
"2010-05-09","2010-05-15","Usher feat. will.i.am","OMG"
"2010-05-16","2010-05-22","Eminem","Not Afraid"
"2010-05-23","2010-06-12","Usher feat. will.i.am","OMG"
"2010-06-13","2010-07-24","Katy Perry feat. Snoop Dogg","California Gurls"
"2010-07-25","2010-09-11","Eminem feat. Rihanna","Love the Way You Lie"
"2010-09-12","2010-09-25","Katy Perry","Teenage Dream"
"2010-09-26","2010-10-23","Bruno Mars","Just the Way You Are"
"2010-10-24","2010-11-06","Far East Movement feat. the Cataracs and Dev","Like A G6"
"2010-11-07","2010-11-13","Ke$ha","We R Who We R"
"2010-11-14","2010-11-20","Rihanna feat. Drake","What's My Name?"
"2010-11-21","2010-11-27","Far East Movement feat. the Cataracs and Dev","Like A G6"
"2010-11-28","2010-12-04","Rihanna","Only Girl (In the World)"
"2010-12-05","2010-12-11","Pink","Raise Your Glass"
"2010-12-12","2011-01-01","Katy Perry","Firework"
"2011-01-02","2011-01-08","Bruno Mars","Grenade"
"2011-01-09","2011-01-15","Katy Perry","Firework"
"2011-01-16","2011-01-22","Bruno Mars","Grenade"
"2011-01-23","2011-01-29","Britney Spears","Hold It Against Me"
"2011-01-30","2011-02-12","Bruno Mars","Grenade"
"2011-02-13","2011-02-19","Wiz Khalifa","Black And Yellow"
"2011-02-20","2011-04-02","Lady Gaga","Born This Way"
"2011-04-03","2011-04-23","Katy Perry feat. Kanye West","E.T."
"2011-04-24","2011-04-30","Rihanna","S&amp;M"
"2011-05-01","2011-05-14","Katy Perry feat. Kanye West","E.T."
"2011-05-15","2011-07-02","Adele","Rolling In the Deep"
"2011-07-03","2011-07-09","Pitbull feat. Ne-Yo, Afrojack and Nayer","Give Me Everything"
"2011-07-10","2011-08-20","LMFAO feat. Lauren Bennett and GoonRock","Party Rock Anthem"
"2011-08-21","2011-09-03","Katy Perry","Last Friday Night (T.G.I.F.)"
"2011-09-04","2011-09-10","Maroon 5 feat. Christina Aguilera","Moves Like Jagger"
"2011-09-11","2011-09-17","Adele","Someone Like You"
"2011-09-18","2011-10-08","Maroon 5 feat. Christina Aguilera","Moves Like Jagger"
"2011-10-09","2011-11-05","Adele","Someone Like You"
"2011-11-06","2011-12-31","Rihanna feat. Calvin Harris","We Found Love"
"2012-01-01","2012-01-14","LMFAO","Sexy and I Know It"
"2012-01-15","2012-01-28","Rihanna feat. Calvin Harris","We Found Love"
"2012-01-29","2012-02-11","Adele","Set Fire To the Rain"
"2012-02-12","2012-02-25","Kelly Clarkson","Stronger (What Doesn't Kill You)"
"2012-02-26","2012-03-03","Katy Perry","Part Of Me"
"2012-03-04","2012-03-10","Kelly Clarkson","Stronger (What Doesn't Kill You)"
"2012-03-11","2012-04-21","fun. feat. Janelle Monae","We Are Young"
"2012-04-22","2012-06-16","Gotye feat. Kimbra","Somebody That I Used To Know"
"2012-06-17","2012-08-18","Carly Rae Jepsen","Call Me Maybe"
"2012-08-19","2012-08-25","Flo Rida","Whistle"
"2012-08-26","2012-09-08","Taylor Swift","We Are Never Ever Getting Back Together"
"2012-09-09","2012-09-15","Flo Rida","Whistle"
"2012-09-16","2012-09-22","Taylor Swift","We Are Never Ever Getting Back Together"
"2012-09-23","2012-11-24","Maroon 5","One More Night"
"2012-11-25","2012-12-15","Rihanna","Diamonds"
"2012-12-16","2013-01-26","Bruno Mars","Locked Out Of Heaven"
"2013-01-27","2013-02-23","Macklemore and Ryan Lewis feat. Wanz","Thrift Shop"
"2013-02-24","2013-03-30","Baauer","Harlem Shake"
"2013-03-31","2013-04-13","Macklemore and Ryan Lewis feat. Wanz","Thrift Shop"
"2013-04-14","2013-04-20","Bruno Mars","When I Was Your Man"
"2013-04-21","2013-05-11","P!nk feat. Nate Ruess ","Just Give Me A Reason"
"2013-05-12","2013-06-15","Macklemore and Ryan Lewis feat. Ray Dalton","Can't Hold Us"
"2013-06-16","2013-09-07","Robin Thicke feat. T.I. and Pharrell ","Blurred Lines"
"2013-09-08","2013-09-21","Katy Perry","Roar"
"2013-09-22","2013-10-05","Miley Cyrus","Wrecking Ball"
"2013-10-06","2013-12-07","Lorde","Royals"
"2013-12-08","2013-12-14","Miley Cyrus","Wrecking Ball"
"2013-12-15","2014-01-11","Eminem feat. Rihanna","The Monster"
"2014-01-12","2014-02-01","Pitbull feat. Ke$ha","Timber"
"2014-02-02","2014-03-01","Katy Perry feat. Juicy J","Dark Horse"
"2014-03-02","2014-05-10","Pharrell Williams","Happy"
"2014-05-11","2014-05-31","John Legend","All of Me"
"2014-06-01","2014-07-19","Iggy Azalea feat. Charli XCX ","Fancy"
"2014-07-20","2014-08-30","MAGIC!","Rude"
"2014-08-31","2014-09-13","Taylor Swift","Shake It Off"
"2014-09-14","2014-11-08","Meghan Trainor","All About That Bass"
"2014-11-09","2014-11-22","Taylor Swift","Shake It Off"
"2014-11-23","2015-01-10","Taylor Swift","Blank Space"
"2015-01-11","2015-04-18","Mark Ronson feat. Bruno Mars","Uptown Funk"
